Region,Date,Actual,Predicted,Delta
West,12/12/2015,22246.33,22100.84,0.65%
Coast,12/13/2015,220898.22,225854.66,2.24%
East,12/13/2015,25241.26,26461.47,4.83%
FarWest,12/13/2015,49474.42,49353.48,0.24%
North,12/13/2015,17050.93,17604.58,3.25%
NorthCentral,12/13/2015,244229.75,247779.33,1.45%
South,12/13/2015,62804.82,63884.65,1.72%
SouthCentral,12/13/2015,120543.84,126465.93,4.91%
Totals,12/13/2015,763233.40,781291.97,2.37%
West,12/13/2015,22990.20,23887.87,3.90%
Coast,12/14/2015,234979.36,234772.90,0.09%
East,12/14/2015,29349.08,29315.73,0.11%
FarWest,12/14/2015,50018.53,49331.73,1.37%
North,12/14/2015,18310.05,18264.45,0.25%
NorthCentral,12/14/2015,265688.68,259857.65,2.19%
South,12/14/2015,66577.54,68817.52,3.36%
SouthCentral,12/14/2015,132758.63,133695.84,0.71%
Totals,12/14/2015,821950.06,819122.36,0.34%
West,12/14/2015,24268.19,25066.61,3.29%
Coast,12/15/2015,235167.14,237770.89,1.11%
East,12/15/2015,29360.68,28110.75,4.26%
FarWest,12/15/2015,50192.12,49685.94,1.01%
North,12/15/2015,18133.30,17709.33,2.34%
NorthCentral,12/15/2015,261557.93,257325.92,1.62%
South,12/15/2015,69268.11,67437.46,2.64%
SouthCentral,12/15/2015,128574.30,126969.11,1.25%
Totals,12/15/2015,815637.45,808555.39,0.87%
West,12/15/2015,23383.95,23546.03,0.69%
Coast,12/16/2015,227592.00,232922.14,2.34%
East,12/16/2015,28698.52,29578.26,3.07%
FarWest,12/16/2015,51612.16,51237.58,0.73%
North,12/16/2015,19086.07,19450.56,1.91%
NorthCentral,12/16/2015,274945.02,280999.05,2.20%
South,12/16/2015,64369.27,63595.61,1.20%
SouthCentral,12/16/2015,128131.34,130076.14,1.52%
Totals,12/16/2015,819966.90,834099.15,1.72%
West,12/16/2015,25532.54,26239.80,2.77%
Coast,12/17/2015,233145.37,238740.71,2.40%
East,12/17/2015,32208.78,32643.79,1.35%
FarWest,12/17/2015,51449.10,51224.10,0.44%
North,12/17/2015,20588.83,20649.60,0.30%
NorthCentral,12/17/2015,302186.00,305783.31,1.19%
South,12/17/2015,65320.41,67041.15,2.63%
SouthCentral,12/17/2015,142319.29,142619.17,0.21%
Totals,12/17/2015,874229.13,886684.31,1.42%
West,12/17/2015,27011.40,27982.48,3.60%
Coast,12/18/2015,240229.92,243657.44,1.43%
East,12/18/2015,31428.98,34302.55,9.14%
FarWest,12/18/2015,51825.95,51102.09,1.40%
North,12/18/2015,20363.24,21028.84,3.27%
NorthCentral,12/18/2015,312926.63,320602.51,2.45%
South,12/18/2015,69222.85,70704.36,2.14%
SouthCentral,12/18/2015,146877.74,149358.54,1.69%
Totals,12/18/2015,901031.36,918923.07,1.99%
West,12/18/2015,28156.02,28166.76,0.04%
Coast,12/19/2015,228995.29,229883.75,0.39%
East,12/19/2015,29956.85,29586.60,1.24%
FarWest,12/19/2015,50105.73,49014.48,2.18%
North,12/19/2015,19237.17,18855.47,1.98%
NorthCentral,12/19/2015,284388.77,281573.82,0.99%
South,12/19/2015,67370.06,68765.53,2.07%
SouthCentral,12/19/2015,140913.56,138100.80,2.00%
Totals,12/19/2015,846946.68,841403.48,0.65%
West,12/19/2015,25979.22,25623.02,1.37%
Coast,12/20/2015,213297.25,220442.34,3.35%
East,12/20/2015,27317.78,26518.85,2.92%
FarWest,12/20/2015,48449.64,47586.78,1.78%
North,12/20/2015,17936.76,16889.92,5.84%
NorthCentral,12/20/2015,258425.58,247904.49,4.07%
South,12/20/2015,61474.07,62707.00,2.01%
SouthCentral,12/20/2015,123520.57,122228.12,1.05%
Totals,12/20/2015,773329.41,766854.35,0.84%
West,12/20/2015,22907.79,22576.80,1.44%
Coast,12/21/2015,230379.36,233575.86,1.39%
East,12/21/2015,27047.37,27542.18,1.83%
FarWest,12/21/2015,48887.70,48993.26,0.22%
North,12/21/2015,17272.07,17528.83,1.49%
NorthCentral,12/21/2015,248376.36,251782.89,1.37%
South,12/21/2015,64974.27,64814.64,0.25%
SouthCentral,12/21/2015,126263.28,125532.05,0.58%
Totals,12/21/2015,785955.93,794118.07,1.04%
West,12/21/2015,22755.57,24348.34,7.00%
Coast,12/22/2015,231025.09,235793.53,2.06%
East,12/22/2015,28337.72,29072.16,2.59%
FarWest,12/22/2015,49055.89,48552.51,1.03%
North,12/22/2015,18183.87,17973.84,1.16%
NorthCentral,12/22/2015,262062.94,260860.93,0.46%
South,12/22/2015,66298.33,66816.87,0.78%
SouthCentral,12/22/2015,126382.27,130194.97,3.02%
Totals,12/22/2015,805394.82,814145.55,1.09%
West,12/22/2015,24048.67,24880.71,3.46%
Coast,12/23/2015,244813.50,240173.86,1.90%
East,12/23/2015,27765.85,27340.65,1.53%
FarWest,12/23/2015,47825.52,48139.80,0.66%
North,12/23/2015,17053.07,17188.64,0.79%
NorthCentral,12/23/2015,246568.28,248901.75,0.95%
South,12/23/2015,67976.01,66465.38,2.22%
SouthCentral,12/23/2015,126864.25,124512.25,1.85%
Totals,12/23/2015,801108.05,796088.42,0.63%
West,12/23/2015,22241.54,23366.13,5.06%
Coast,12/24/2015,233263.49,236420.69,1.35%
East,12/24/2015,25841.74,25740.28,0.39%
FarWest,12/24/2015,44774.28,46302.14,3.41%
North,12/24/2015,16758.43,17163.55,2.42%
NorthCentral,12/24/2015,239044.75,240906.20,0.78%
South,12/24/2015,68327.20,67379.95,1.39%
SouthCentral,12/24/2015,121596.97,122360.98,0.63%
Totals,12/24/2015,772558.82,780247.60,1.00%
West,12/24/2015,22952.05,23973.76,4.45%
Coast,12/25/2015,246000.77,241002.55,2.03%
East,12/25/2015,23358.48,25407.98,8.77%
FarWest,12/25/2015,45986.37,47098.47,2.42%
North,12/25/2015,16496.53,17413.43,5.56%
NorthCentral,12/25/2015,227708.33,240527.82,5.63%
South,12/25/2015,67573.29,67980.19,0.60%
SouthCentral,12/25/2015,112747.37,120844.95,7.18%
Totals,12/25/2015,761742.90,784133.86,2.94%
West,12/25/2015,21871.76,23858.49,9.08%
Coast,12/26/2015,246397.68,238963.32,3.02%
East,12/26/2015,25144.53,24975.01,0.67%
FarWest,12/26/2015,47343.98,48082.26,1.56%
North,12/26/2015,16752.57,17321.81,3.40%
NorthCentral,12/26/2015,233481.57,236558.31,1.32%
South,12/26/2015,72451.22,68578.47,5.35%
SouthCentral,12/26/2015,125672.76,124853.36,0.65%
Totals,12/26/2015,789748.59,781744.91,1.01%
West,12/26/2015,22504.30,22412.37,0.41%
Coast,12/27/2015,227617.29,228513.99,0.39%
East,12/27/2015,24343.69,25932.54,6.53%
FarWest,12/27/2015,53260.64,52090.82,2.20%
North,12/27/2015,19892.81,20548.79,3.30%
NorthCentral,12/27/2015,274645.53,299659.11,9.11%
South,12/27/2015,67240.36,68059.38,1.22%
SouthCentral,12/27/2015,131582.63,135953.85,3.32%
Totals,12/27/2015,827879.07,859719.56,3.85%
West,12/27/2015,29296.16,28961.10,1.14%
Coast,12/28/2015,240895.47,251143.45,4.25%
East,12/28/2015,33924.08,35190.42,3.73%
FarWest,12/28/2015,51353.68,51995.51,1.25%
North,12/28/2015,21805.92,21603.78,0.93%
NorthCentral,12/28/2015,352132.79,338794.34,3.79%
South,12/28/2015,74705.41,75268.35,0.75%
SouthCentral,12/28/2015,165514.62,159466.58,3.65%
Totals,12/28/2015,972688.11,964341.26,0.86%
West,12/28/2015,32356.11,30878.84,4.57%
Coast,12/29/2015,242618.65,245940.20,1.37%
East,12/29/2015,34331.20,34545.73,0.62%
FarWest,12/29/2015,51371.22,51510.92,0.27%
North,12/29/2015,21720.48,21698.93,0.10%
NorthCentral,12/29/2015,335637.19,334104.41,0.46%
South,12/29/2015,71739.15,71823.56,0.12%
SouthCentral,12/29/2015,158484.03,154648.50,2.42%
Totals,12/29/2015,945996.32,943767.87,0.24%
West,12/29/2015,30094.39,29495.69,1.99%
Coast,12/30/2015,237015.46,237136.65,0.05%
East,12/30/2015,31902.93,32498.08,1.87%
FarWest,12/30/2015,52047.36,51563.61,0.93%
North,12/30/2015,20325.08,20691.89,1.80%
NorthCentral,12/30/2015,307130.93,310908.12,1.23%
South,12/30/2015,70880.14,69912.12,1.37%
SouthCentral,12/30/2015,142562.88,141952.41,0.43%
Totals,12/30/2015,890584.01,893359.19,0.31%
West,12/30/2015,28719.17,28696.26,0.08%
Coast,12/31/2015,233228.97,232732.13,0.21%
East,12/31/2015,32368.62,30460.57,5.89%
FarWest,12/31/2015,50981.71,51387.67,0.80%
North,12/31/2015,20537.01,20272.50,1.29%
NorthCentral,12/31/2015,309041.12,309548.53,0.16%
South,12/31/2015,72159.81,70592.89,2.17%
SouthCentral,12/31/2015,143605.66,139897.29,2.58%
Totals,12/31/2015,891497.23,882370.69,1.02%
West,12/31/2015,29574.29,27479.09,7.08%
Coast,1/1/2016,233609.69,237370.78,1.61%
East,1/1/2016,30320.52,30776.49,1.50%
FarWest,1/1/2016,51953.52,51813.23,0.27%
North,1/1/2016,19872.64,20399.26,2.65%
NorthCentral,1/1/2016,300551.10,313346.04,4.26%
South,1/1/2016,78573.07,76646.67,2.45%
SouthCentral,1/1/2016,149396.69,144648.45,3.18%
Totals,1/1/2016,892883.09,902823.62,1.11%
West,1/1/2016,28605.90,27822.74,2.74%
Coast,1/2/2016,239230.80,238030.40,0.50%
East,1/2/2016,30959.87,30940.30,0.06%
FarWest,1/2/2016,51387.51,51256.52,0.25%
North,1/2/2016,19681.57,19663.25,0.09%
NorthCentral,1/2/2016,293655.33,298493.93,1.65%
South,1/2/2016,91069.54,81066.99,10.98%
SouthCentral,1/2/2016,157062.87,147937.53,5.81%
Totals,1/2/2016,912469.96,895321.28,1.88%
West,1/2/2016,29422.41,27932.30,5.06%
Coast,1/3/2016,225834.51,233247.95,3.28%
East,1/3/2016,28014.25,29631.85,5.77%
FarWest,1/3/2016,48710.12,50151.57,2.96%
North,1/3/2016,19290.56,19982.70,3.59%
NorthCentral,1/3/2016,276992.56,289297.90,4.44%
South,1/3/2016,85162.12,79342.87,6.83%
SouthCentral,1/3/2016,139839.96,137147.81,1.93%
Totals,1/3/2016,850403.22,865589.45,1.79%
West,1/3/2016,26559.19,26786.76,0.86%
Coast,1/4/2016,246189.19,243406.47,1.13%
East,1/4/2016,33345.10,32218.65,3.38%
FarWest,1/4/2016,50697.63,50786.93,0.18%
North,1/4/2016,20761.55,20330.96,2.07%
NorthCentral,1/4/2016,314771.78,299783.79,4.76%
South,1/4/2016,79408.63,79318.04,0.11%
SouthCentral,1/4/2016,152488.16,144697.14,5.11%
Totals,1/4/2016,926992.92,898619.00,3.06%
West,1/4/2016,29330.93,28077.02,4.28%
Coast,1/5/2016,252784.33,250205.98,1.02%
East,1/5/2016,37282.19,35488.06,4.81%
FarWest,1/5/2016,52063.72,50949.09,2.14%
North,1/5/2016,22079.95,21396.19,3.10%
NorthCentral,1/5/2016,336068.30,329913.35,1.83%
South,1/5/2016,77151.73,72279.07,6.32%
SouthCentral,1/5/2016,156381.40,148656.55,4.94%
Totals,1/5/2016,963461.25,936930.60,2.75%
West,1/5/2016,29649.69,28042.30,5.42%
Coast,1/6/2016,247712.60,238476.09,3.73%
East,1/6/2016,35122.98,32429.32,7.67%
FarWest,1/6/2016,51428.13,50257.88,2.28%
North,1/6/2016,21175.91,19653.95,7.19%
NorthCentral,1/6/2016,318680.28,302744.05,5.00%
South,1/6/2016,67550.95,66358.39,1.77%
SouthCentral,1/6/2016,146581.51,140551.92,4.11%
Totals,1/6/2016,916156.97,876987.74,4.28%
West,1/6/2016,27904.55,26516.11,4.98%
Coast,1/7/2016,230797.22,231742.02,0.41%
East,1/7/2016,28200.59,29101.07,3.19%
FarWest,1/7/2016,51740.01,50010.35,3.34%
North,1/7/2016,18542.52,17812.32,3.94%
NorthCentral,1/7/2016,275861.95,266731.10,3.31%
South,1/7/2016,63721.99,64754.78,1.62%
SouthCentral,1/7/2016,128909.23,131149.83,1.74%
Totals,1/7/2016,824724.51,816742.33,0.97%
West,1/7/2016,26951.01,25440.93,5.60%
Coast,1/8/2016,230905.21,233433.54,1.09%
East,1/8/2016,27564.69,29172.14,5.83%
FarWest,1/8/2016,50794.72,50140.07,1.29%
North,1/8/2016,19336.19,19581.94,1.27%
NorthCentral,1/8/2016,278649.06,273537.81,1.83%
South,1/8/2016,62239.69,65410.52,5.09%
SouthCentral,1/8/2016,131800.19,136088.84,3.25%
Totals,1/8/2016,827316.42,832646.78,0.64%
West,1/8/2016,26026.71,25281.98,2.86%
Coast,1/9/2016,237239.39,233521.91,1.57%
East,1/9/2016,30750.91,30283.91,1.52%
FarWest,1/9/2016,52161.39,51352.59,1.55%
North,1/9/2016,21528.41,21076.42,2.10%
NorthCentral,1/9/2016,321516.86,315835.47,1.77%
South,1/9/2016,63564.44,65036.99,2.32%
SouthCentral,1/9/2016,136550.50,135427.91,0.82%
Totals,1/9/2016,892006.83,880320.56,1.31%
West,1/9/2016,28694.89,27785.38,3.17%
Coast,1/10/2016,256864.10,250092.42,2.64%
East,1/10/2016,35479.55,34442.59,2.92%
FarWest,1/10/2016,50935.60,50931.10,0.01%
North,1/10/2016,22471.03,22205.29,1.18%
NorthCentral,1/10/2016,346825.53,343320.19,1.01%
South,1/10/2016,76315.39,77290.11,1.28%
SouthCentral,1/10/2016,158721.60,152720.66,3.78%
Totals,1/10/2016,977394.33,959953.06,1.78%
West,1/10/2016,29781.58,28950.60,2.79%
Coast,1/11/2016,270503.95,257141.55,4.94%
East,1/11/2016,37317.44,35493.10,4.89%
FarWest,1/11/2016,50602.48,50938.15,0.66%
North,1/11/2016,21977.84,21127.21,3.87%
NorthCentral,1/11/2016,346253.78,334395.09,3.42%
South,1/11/2016,85224.79,78196.79,8.25%
SouthCentral,1/11/2016,163135.57,155251.65,4.83%
Totals,1/11/2016,1004341.48,961444.53,4.27%
West,1/11/2016,29325.64,28901.04,1.45%
Coast,1/12/2016,254447.98,248647.97,2.28%
East,1/12/2016,35540.34,33356.57,6.14%
FarWest,1/12/2016,51642.81,51316.60,0.63%
North,1/12/2016,20582.45,20059.51,2.54%
NorthCentral,1/12/2016,311330.19,305035.33,2.02%
South,1/12/2016,76514.08,71393.51,6.69%
SouthCentral,1/12/2016,152381.79,147662.92,3.10%
Totals,1/12/2016,931465.36,905345.45,2.80%
West,1/12/2016,29025.74,27873.04,3.97%
Coast,1/13/2016,248708.82,245884.21,1.14%
East,1/13/2016,33055.72,31785.52,3.84%
FarWest,1/13/2016,51407.72,50403.35,1.95%
North,1/13/2016,19646.98,19257.49,1.98%
NorthCentral,1/13/2016,287914.75,284648.62,1.13%
South,1/13/2016,74075.65,70303.69,5.09%
SouthCentral,1/13/2016,143177.16,143384.95,0.15%
Totals,1/13/2016,885740.67,872605.97,1.48%
West,1/13/2016,27753.89,26938.15,2.94%
Coast,1/14/2016,239533.30,235017.59,1.89%
East,1/14/2016,29628.39,30115.00,1.64%
FarWest,1/14/2016,51959.39,50069.67,3.64%
North,1/14/2016,18360.24,18356.47,0.02%
NorthCentral,1/14/2016,273742.53,269473.85,1.56%
South,1/14/2016,68036.50,65567.74,3.63%
SouthCentral,1/14/2016,132001.86,132319.89,0.24%
Totals,1/14/2016,839661.50,826544.98,1.56%
West,1/14/2016,26399.16,25624.72,2.93%
Coast,1/15/2016,230381.57,232109.82,0.75%
East,1/15/2016,27229.15,29161.50,7.10%
FarWest,1/15/2016,50088.38,49594.55,0.99%
North,1/15/2016,18191.40,18482.43,1.60%
NorthCentral,1/15/2016,265669.16,265953.42,0.11%
South,1/15/2016,65773.77,66689.56,1.39%
SouthCentral,1/15/2016,128469.56,130949.25,1.93%
Totals,1/15/2016,811492.43,818469.50,0.86%
West,1/15/2016,25689.43,25528.99,0.62%
Coast,1/16/2016,239915.93,232431.45,3.12%
East,1/16/2016,30562.94,30404.77,0.52%
FarWest,1/16/2016,49541.23,49690.51,0.30%
North,1/16/2016,20598.97,20449.53,0.73%
NorthCentral,1/16/2016,301944.44,305923.18,1.32%
South,1/16/2016,65105.28,64470.15,0.98%
SouthCentral,1/16/2016,135442.49,135575.37,0.10%
Totals,1/16/2016,869261.12,865175.88,0.47%
West,1/16/2016,26149.85,26230.91,0.31%
Coast,1/17/2016,242242.46,243616.52,0.57%
East,1/17/2016,31930.16,32195.22,0.83%
FarWest,1/17/2016,48300.08,49185.02,1.83%
North,1/17/2016,20401.71,20573.12,0.84%
NorthCentral,1/17/2016,308378.50,310953.95,0.84%
South,1/17/2016,70691.04,72950.80,3.20%
SouthCentral,1/17/2016,145945.54,146910.52,0.66%
Totals,1/17/2016,895208.96,903856.38,0.97%
West,1/17/2016,27319.40,27471.20,0.56%
Coast,1/18/2016,255474.11,249175.11,2.47%
East,1/18/2016,34029.12,34050.74,0.06%
FarWest,1/18/2016,50314.93,50701.95,0.77%
North,1/18/2016,22452.90,22064.94,1.73%
NorthCentral,1/18/2016,339310.20,334142.30,1.52%
South,1/18/2016,69899.46,70579.82,0.97%
SouthCentral,1/18/2016,150292.64,149471.07,0.55%
Totals,1/18/2016,951322.19,939621.99,1.23%
West,1/18/2016,29548.90,29436.11,0.38%
Coast,1/19/2016,244296.26,238471.45,2.38%
East,1/19/2016,33007.01,30988.33,6.12%
FarWest,1/19/2016,49954.17,49268.32,1.37%
