County,Date,Hour,Predicted
Chambers,2/1/2016,10,58.87
Chambers,2/1/2016,11,60.32
Chambers,2/1/2016,12,61.40
Chambers,2/1/2016,13,62.81
Chambers,2/1/2016,14,64.13
Chambers,2/1/2016,15,65.10
Chambers,2/1/2016,16,65.84
Chambers,2/1/2016,17,65.09
Chambers,2/1/2016,18,64.47
Chambers,2/1/2016,19,66.44
Chambers,2/1/2016,20,66.27
Chambers,2/1/2016,21,65.02
Chambers,2/1/2016,22,62.78
Chambers,2/1/2016,23,58.79
Chambers,2/1/2016,24,54.44
Montgomery,2/1/2016,1,660.74
Montgomery,2/1/2016,2,640.82
Montgomery,2/1/2016,3,633.35
Montgomery,2/1/2016,4,632.12
Montgomery,2/1/2016,5,649.19
Montgomery,2/1/2016,6,692.59
Montgomery,2/1/2016,7,758.50
Montgomery,2/1/2016,8,776.45
Montgomery,2/1/2016,9,782.99
Montgomery,2/1/2016,10,800.96
Montgomery,2/1/2016,11,820.62
Montgomery,2/1/2016,12,835.38
Montgomery,2/1/2016,13,854.54
Montgomery,2/1/2016,14,872.41
Montgomery,2/1/2016,15,885.66
Montgomery,2/1/2016,16,895.68
Montgomery,2/1/2016,17,885.52
Montgomery,2/1/2016,18,877.15
Montgomery,2/1/2016,19,903.88
Montgomery,2/1/2016,20,901.57
Montgomery,2/1/2016,21,884.61
Montgomery,2/1/2016,22,854.07
Montgomery,2/1/2016,23,799.75
Montgomery,2/1/2016,24,740.58
Fort Bend,2/1/2016,1,872.60
Fort Bend,2/1/2016,2,846.30
Fort Bend,2/1/2016,3,836.42
Fort Bend,2/1/2016,4,834.80
Fort Bend,2/1/2016,5,857.35
Fort Bend,2/1/2016,6,914.67
Fort Bend,2/1/2016,7,1001.71
Fort Bend,2/1/2016,8,1025.41
Fort Bend,2/1/2016,9,1034.05
Fort Bend,2/1/2016,10,1057.79
Fort Bend,2/1/2016,11,1083.74
Fort Bend,2/1/2016,12,1103.24
Fort Bend,2/1/2016,13,1128.54
Fort Bend,2/1/2016,14,1152.15
Fort Bend,2/1/2016,15,1169.65
Fort Bend,2/1/2016,16,1182.88
Fort Bend,2/1/2016,17,1169.46
Fort Bend,2/1/2016,18,1158.41
Fort Bend,2/1/2016,19,1193.71
Fort Bend,2/1/2016,20,1190.65
Fort Bend,2/1/2016,21,1168.26
Fort Bend,2/1/2016,22,1127.92
Fort Bend,2/1/2016,23,1056.19
Fort Bend,2/1/2016,24,978.05
Wharton,2/1/2016,1,52.42
Wharton,2/1/2016,2,50.84
Wharton,2/1/2016,3,50.24
Wharton,2/1/2016,4,50.15
Wharton,2/1/2016,5,51.50
Wharton,2/1/2016,6,54.94
Wharton,2/1/2016,7,60.17
Wharton,2/1/2016,8,61.60
Wharton,2/1/2016,9,62.11
Wharton,2/1/2016,10,63.54
Wharton,2/1/2016,11,65.10
Wharton,2/1/2016,12,66.27
Wharton,2/1/2016,13,67.79
Wharton,2/1/2016,14,69.21
Wharton,2/1/2016,15,70.26
Wharton,2/1/2016,16,71.05
Wharton,2/1/2016,17,70.25
Wharton,2/1/2016,18,69.58
Wharton,2/1/2016,19,71.71
Wharton,2/1/2016,20,71.52
Wharton,2/1/2016,21,70.18
Wharton,2/1/2016,22,67.75
Wharton,2/1/2016,23,63.44
Wharton,2/1/2016,24,58.75
Matagorda,2/1/2016,1,46.50
Matagorda,2/1/2016,2,45.10
Matagorda,2/1/2016,3,44.57
Matagorda,2/1/2016,4,44.48
Matagorda,2/1/2016,5,45.68
Matagorda,2/1/2016,6,48.74
Matagorda,2/1/2016,7,53.38
Matagorda,2/1/2016,8,54.64
Matagorda,2/1/2016,9,55.10
Matagorda,2/1/2016,10,56.36
Matagorda,2/1/2016,11,57.75
Matagorda,2/1/2016,12,58.79
Matagorda,2/1/2016,13,60.13
Matagorda,2/1/2016,14,61.39
Matagorda,2/1/2016,15,62.33
Matagorda,2/1/2016,16,63.03
Matagorda,2/1/2016,17,62.32
Matagorda,2/1/2016,18,61.73
Matagorda,2/1/2016,19,63.61
Matagorda,2/1/2016,20,63.44
Matagorda,2/1/2016,21,62.25
Matagorda,2/1/2016,22,60.10
Matagorda,2/1/2016,23,56.28
Matagorda,2/1/2016,24,52.12
Jackson,2/1/2016,1,18.77
Jackson,2/1/2016,2,18.20
Jackson,2/1/2016,3,17.99
Jackson,2/1/2016,4,17.95
Jackson,2/1/2016,5,18.44
Jackson,2/1/2016,6,19.67
Jackson,2/1/2016,7,21.54
Jackson,2/1/2016,8,22.05
Jackson,2/1/2016,9,22.24
Jackson,2/1/2016,10,22.75
Jackson,2/1/2016,11,23.31
Jackson,2/1/2016,12,23.73
Jackson,2/1/2016,13,24.27
Jackson,2/1/2016,14,24.78
Jackson,2/1/2016,15,25.15
Jackson,2/1/2016,16,25.44
Jackson,2/1/2016,17,25.15
Jackson,2/1/2016,18,24.91
Jackson,2/1/2016,19,25.67
Jackson,2/1/2016,20,25.61
Jackson,2/1/2016,21,25.12
Jackson,2/1/2016,22,24.26
Jackson,2/1/2016,23,22.71
Jackson,2/1/2016,24,21.03
Robertson,2/1/2016,1,9.73
