County,Date,Predicted
Rockwall,12/1/2015,3130.47
Runnels,12/1/2015,460.86
Rusk,12/1/2015,1143.40
San Jacinto,12/1/2015,574.60
San Patricio,12/1/2015,1902.27
San Saba,12/1/2015,248.74
Schleicher,12/1/2015,139.93
Scurry,12/1/2015,766.68
Shackelford,12/1/2015,119.19
Smith,12/1/2015,4640.38
Somervell,12/1/2015,309.96
Starr,12/1/2015,1789.72
Stephens,12/1/2015,335.31
Sterling,12/1/2015,59.24
Stonewall,12/1/2015,25.19
Sutton,12/1/2015,175.73
Swisher,12/1/2015,136.08
Tarrant,12/1/2015,69354.04
Taylor,12/1/2015,5979.43
Terrell,12/1/2015,95.22
Throckmorton,12/1/2015,57.30
Titus,12/1/2015,689.28
Tom Green,12/1/2015,5159.31
Travis,12/1/2015,35268.27
Trinity,12/1/2015,301.61
Tyler,12/1/2015,454.16
Upton,12/1/2015,354.96
Uvalde,12/1/2015,1199.80
Val Verde,12/1/2015,2166.84
Van Zandt,12/1/2015,1121.93
Victoria,12/1/2015,3144.08
Walker,12/1/2015,1479.82
Waller,12/1/2015,1616.22
Ward,12/1/2015,1194.59
Washington,12/1/2015,1055.10
Webb,12/1/2015,7581.02
Wharton,12/1/2015,1421.09
Wheeler,12/1/2015,102.58
Wichita,12/1/2015,2376.03
Wilbarger,12/1/2015,232.87
Willacy,12/1/2015,622.65
Williamson,12/1/2015,14989.41
Wilson,12/1/2015,1421.65
Winkler,12/1/2015,803.68
Wise,12/1/2015,2197.44
Wood,12/1/2015,908.62
Young,12/1/2015,654.17
Zapata,12/1/2015,407.07
Zavala,12/1/2015,348.72
Anderson,12/2/2015,1218.77
Andrews,12/2/2015,1815.64
Angelina,12/2/2015,1855.86
Aransas,12/2/2015,705.89
Archer,12/2/2015,157.25
Armstrong,12/2/2015,34.86
Atascosa,12/2/2015,1350.45
Austin,12/2/2015,878.56
Bandera,12/2/2015,630.46
Bastrop,12/2/2015,2355.77
Baylor,12/2/2015,64.09
Bee,12/2/2015,928.94
Bell,12/2/2015,11618.58
Bexar,12/2/2015,56001.85
Blanco,12/2/2015,326.30
Borden,12/2/2015,67.72
Bosque,12/2/2015,627.63
Bowie,12/2/2015,1664.50
Brazoria,12/2/2015,11783.40
Brazos,12/2/2015,4423.41
Brewster,12/2/2015,952.94
Briscoe,12/2/2015,27.39
Brooks,12/2/2015,203.35
Brown,12/2/2015,1329.17
Burleson,12/2/2015,520.62
Burnet,12/2/2015,1356.17
Caldwell,12/2/2015,1201.29
Calhoun,12/2/2015,759.63
Callahan,12/2/2015,599.21
Cameron,12/2/2015,11883.35
