Region,Date,Hour,Actual,Predicted,Delta
West,1/8/2016,18,1028.79,1027.82,0.09%
West,1/8/2016,19,1084.02,1157.60,6.79%
West,1/8/2016,20,1095.65,1129.60,3.10%
West,1/8/2016,21,1098.05,1107.62,0.87%
West,1/8/2016,22,1088.06,1051.52,3.36%
West,1/8/2016,23,1057.28,999.11,5.50%
West,1/8/2016,24,1033.32,949.29,8.13%
FarWest,1/8/2016,1,2030.12,2024.39,0.28%
FarWest,1/8/2016,2,2018.26,1969.63,2.41%
FarWest,1/8/2016,3,2013.84,1988.47,1.26%
FarWest,1/8/2016,4,2014.54,2012.63,0.09%
FarWest,1/8/2016,5,2022.67,2021.46,0.06%
